time,wonder_olympie,cardtype_Leader,tokenNumber_Compas,cardtype_RareRessources,ressources_verre,tokenNumber_Military,action_wonder,cardNumber_RareRessources,tokenNumber_Tablette,cardNumber_Commercial,cardtype_CommonRessources,cardtype_Commercial,ressources_argile,wonderfloorbuilt,ressources_bois,cardtype_Guilds,tokenNumber_Engrenage,cardNumber_Guilds,wonder_babylone,wonder_petra,action_freebuild,tokenNumber_DefeatToken1,coins,wonder_alexandrie,cardNumber_Military,wonder_gizeh,action_leader,ressources_minerai,cardNumber_Leader,cardtype_Scientific,cardtype_Civilian,tokenNumber_VictoryToken3,tokenNumber_VictoryToken1,wonder_ephese,tokenNumber_VictoryToken5,wonder_rome,ressources_tissu,cardNumber_CommonRessources,wonder_rhodes,cardNumber_Civilian,ressources_pierre,face_A,face_B,action_discard,ressources_papyrus,wonder_abousimbel,cardNumber_Scientific,wonder_halicarnasse,y,cardtype_Military,action_build,action_bury
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.413265306122,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.413265306122,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.413265306122,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.413265306122,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.413265306122,0,1,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.413265306122,0,1,0
6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.413265306122,0,1,0
7,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.413265306122,0,1,0
8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.413265306122,0,1,0
9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0.413265306122,0,1,0
10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,1,0,0.413265306122,0,1,0
11,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,2,0,0.413265306122,0,1,0
12,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,2,0,0.413265306122,0,1,0
13,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,2,4,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,2,0,0.413265306122,0,0,0
14,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,2,0,0.413265306122,0,1,0
15,0,0,1,0,1,0,0,2,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,2,0,0.413265306122,0,1,0
16,0,0,1,0,1,0,0,2,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,2,0,2,0,0.413265306122,1,1,0
17,0,0,1,0,1,2,1,2,0,1,0,0,1,1,1,0,1,0,0,0,0,2,2,0,1,0,0,1,2,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,2,0,2,0,0.413265306122,0,0,0
