,action_build,action_bury,action_discard,action_freebuild,action_leader,action_wonder,cardNumber_Civilian,cardNumber_Commercial,cardNumber_CommonRessources,cardNumber_Guilds,cardNumber_Leader,cardNumber_Military,cardNumber_RareRessources,cardNumber_Scientific,cardtype_Civilian,cardtype_Commercial,cardtype_CommonRessources,cardtype_Guilds,cardtype_Leader,cardtype_Military,cardtype_RareRessources,cardtype_Scientific,coins,face_A,face_B,idcard_Académie,idcard_Alexandre,idcard_Amytis,idcard_Aqueduc,idcard_Archimède,idcard_Aristote,idcard_Arsenal,idcard_Arène,idcard_Atelier,idcard_Atelier de siège,idcard_Autel,idcard_Bains,idcard_Bassin Argileux,idcard_Bazar,idcard_Bibliothèque,idcard_Bilkis,idcard_Briqueterie,idcard_Caravansérail,idcard_Carrière,idcard_Caserne,idcard_Cavité,idcard_Chambre de commerce,idcard_Champs de tir,idcard_Chantier,idcard_Cirque,idcard_Cléopâtre,idcard_Comptoir est,idcard_Comptoir ouest,idcard_Crésus,idcard_César,idcard_Dispensaire,idcard_Ecole,idcard_Ecuries,idcard_Euclide,idcard_Excavation,idcard_Exploitation Forestière,idcard_Filon,idcard_Fonderie,idcard_Fortifications,idcard_Forum,idcard_Fosse Argileuse,idcard_Friche,idcard_Gilles de Boüard,idcard_Gisement,idcard_Guilde des Architectes,idcard_Guilde des Armateurs,idcard_Guilde des Artisans,idcard_Guilde des Bâtisseurs,idcard_Guilde des Commerçants,idcard_Guilde des Diplomates,idcard_Guilde des Espions,idcard_Guilde des Joueurs,idcard_Guilde des Magistrats,idcard_Guilde des Philosophes,idcard_Guilde des Scientifiques,idcard_Guilde des Stratèges,idcard_Guilde des Travailleurs,idcard_Hammurabi,idcard_Hannibal,idcard_Hatshepsout,idcard_Hiram,idcard_Hypatie,idcard_Hôtel de ville,idcard_Imhotep,idcard_Jardins,idcard_Justinien,idcard_Laboratoire,idcard_Loge,idcard_Léonidas,idcard_Marché,idcard_Midas,idcard_Mine,idcard_Muraille,idcard_Mécène,idcard_Métier à tisser,idcard_Nabuchodonosor,idcard_Néfertiti,idcard_Néron,idcard_Observatoire,idcard_Officine,idcard_Palace,idcard_Palissade,idcard_Panthéon,idcard_Phare,idcard_Phidias,idcard_Place d'armes,idcard_Platon,idcard_Port,idcard_Praxitèle,idcard_Presse,idcard_Prêteur sur gage,idcard_Ptolémée,idcard_Pythagore,idcard_Périclès,idcard_Ramsès,idcard_Salomon,idcard_Sappho,idcard_Scierie,idcard_Scriptorium,idcard_Statue,idcard_Sénat,idcard_Taverne,idcard_Temple,idcard_Théâtre,idcard_Tomyris,idcard_Tour de garde,idcard_Tribunal,idcard_Université,idcard_Varron,idcard_Verrerie,idcard_Vignoble,idcard_Vitruve,idcard_Xénophon,idcard_Zénobie,idcard_Étude,ressources_argile,ressources_bois,ressources_minerai,ressources_papyrus,ressources_pierre,ressources_tissu,ressources_verre,tokenNumber_Compas,tokenNumber_DefeatToken1,tokenNumber_Engrenage,tokenNumber_Military,tokenNumber_Tablette,tokenNumber_VictoryToken1,tokenNumber_VictoryToken3,tokenNumber_VictoryToken5,trade_left,trade_right,wonder_abousimbel,wonder_alexandrie,wonder_babylone,wonder_ephese,wonder_gizeh,wonder_halicarnasse,wonder_olympie,wonder_petra,wonder_rhodes,wonder_rome,wonderfloorbuilt,y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23182441701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
